"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart";"Escola Conectada"
"12001058";"4.1";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";;"Não"
"12001953";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12001996";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002003";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002054";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002127";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12002178";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002186";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002208";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12002232";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12002283";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002313";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12002399";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Sim"
"12002410";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002461";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002640";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12002674";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002712";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002763";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002771";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002828";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002887";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002895";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002909";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002917";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002925";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002941";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002950";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12002984";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003000";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003018";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003069";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003077";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003093";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003140";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003166";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003174";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003190";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003204";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003220";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003239";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003360";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003387";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003417";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003450";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003476";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12003484";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003506";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";"S";"Não"
"12003522";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12003611";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003638";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12003654";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003670";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003697";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12003719";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003735";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003751";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003778";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003816";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12003824";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003832";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12003867";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12003905";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12003921";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12004146";"4.1";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";;"Não"
"12004421";"4.1";"Norte";"AC";"Feijó";"Sim";"Sim";"Não";;"Não"
"12018899";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12018902";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12018996";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12020044";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12020311";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12020338";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12020354";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Não"
"12020400";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Sim"
"12020419";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12020893";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12021032";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12021083";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";;"Não"
"12021091";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";"S";"Não"
"12021130";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
"12021156";"4.1";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";;"Não"
"12021229";"4.1";"Norte";"AC";"Rodrigues Alves";"Sim";"Sim";"Não";;"Sim"
"12021520";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12021539";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12021555";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Não";;"Não"
"12021563";"4.1";"Norte";"AC";"Porto Walter";"Sim";"Sim";"Sim";;"Não"
"12021792";"4.1";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";;"Não"
