"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"12001058";"B";"Norte";"AC";"Cruzeiro do Sul";"Sim";"Sim";"Não";
"12001953";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12001996";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002003";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002054";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002127";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002178";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002186";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002208";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002232";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002283";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002313";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002399";"B";"Norte";"AC";"Mâncio Lima";"Sim";"Sim";"Não";
"12002410";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002461";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002640";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Sim";
"12002674";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002712";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002763";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002771";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002828";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002887";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
"12002895";"B";"Norte";"AC";"Marechal Thaumaturgo";"Sim";"Sim";"Não";
